head	relation	tail
34	relation_100	4492
34	relation_100	4494
34	relation_100	4019
34	relation_100	3353
34	relation_100	5230
34	relation_100	230
34	relation_100	5207
34	relation_100	89
34	relation_100	5423
34	relation_100	3270
35	relation_100	5543
35	relation_100	5753
35	relation_100	5190
35	relation_100	5469
35	relation_100	3103
36	relation_100	3083
36	relation_100	5717
36	relation_100	3736
36	relation_100	5705
36	relation_100	3339
36	relation_100	3331
37	relation_100	4494
37	relation_100	3117
37	relation_100	4849
37	relation_100	4322
37	relation_100	4407
38	relation_100	3613
38	relation_100	5490
38	relation_100	3137
38	relation_100	3712
38	relation_100	5024
39	relation_100	5413
39	relation_100	5453
39	relation_100	6149
39	relation_100	6103
39	relation_100	250
40	relation_100	5759
40	relation_100	3075
40	relation_100	3083
40	relation_100	5470
40	relation_100	5002
41	relation_100	3350
41	relation_100	3075
41	relation_100	3083
41	relation_100	3347
41	relation_100	5470
41	relation_100	5002
42	relation_100	4367
42	relation_100	5458
42	relation_100	4019
42	relation_100	3876
42	relation_100	5634
42	relation_100	4889
43	relation_100	5759
43	relation_100	3347
43	relation_100	5470
43	relation_100	5204
43	relation_100	5490
43	relation_100	5878
43	relation_100	4046
43	relation_100	3606
43	relation_100	3968
43	relation_100	218
43	relation_100	3124
43	relation_100	241
43	relation_100	246
44	relation_100	4367
44	relation_100	5702
44	relation_100	6186
44	relation_100	5469
44	relation_100	3498
44	relation_100	5971
44	relation_100	5441
45	relation_100	3083
45	relation_100	4494
45	relation_100	5175
45	relation_100	3339
45	relation_100	3
46	relation_100	4487
46	relation_100	5759
46	relation_100	4494
46	relation_100	4019
46	relation_100	5922
46	relation_100	4869
46	relation_100	89
46	relation_100	232
46	relation_100	3271
46	relation_100	4602
46	relation_100	3637
47	relation_100	4332
47	relation_100	216
47	relation_100	5880
47	relation_100	5001
47	relation_100	5484
47	relation_100	5030
47	relation_100	209
47	relation_100	4080
47	relation_100	3872
47	relation_100	6174
47	relation_100	4671
48	relation_100	3839
48	relation_100	3846
48	relation_100	4487
48	relation_100	4019
48	relation_100	6054
48	relation_100	230
48	relation_100	5530
48	relation_100	6051
48	relation_100	89
48	relation_100	3270
48	relation_100	3124
49	relation_100	4487
49	relation_100	5759
49	relation_100	4494
49	relation_100	771
49	relation_100	228
49	relation_100	89
49	relation_100	4602
50	relation_100	3839
50	relation_100	5458
50	relation_100	6114
50	relation_100	3836
50	relation_100	3644
50	relation_100	3625
50	relation_100	3645
50	relation_100	5442
51	relation_100	5251
51	relation_100	4616
51	relation_100	4397
51	relation_100	3466
51	relation_100	3082
52	relation_100	5856
52	relation_100	4895
52	relation_100	3651
52	relation_100	5247
52	relation_100	3505
53	relation_100	4367
53	relation_100	5702
53	relation_100	6186
53	relation_100	3498
53	relation_100	257
54	relation_100	3912
54	relation_100	4895
54	relation_100	2
54	relation_100	6535
54	relation_100	5209
54	relation_100	6105
55	relation_100	218
55	relation_100	4045
55	relation_100	251
55	relation_100	4671
55	relation_100	6143
56	relation_100	4907
56	relation_100	5001
56	relation_100	227
56	relation_100	218
56	relation_100	3872
56	relation_100	5487
56	relation_100	4671
57	relation_100	6151
57	relation_100	5001
57	relation_100	218
57	relation_100	3872
57	relation_100	4045
57	relation_100	251
57	relation_100	4671
57	relation_100	6143
58	relation_100	3839
58	relation_100	3843
58	relation_100	5759
58	relation_100	3075
58	relation_100	3083
58	relation_100	4504
58	relation_100	4507
58	relation_100	3084
58	relation_100	5771
58	relation_100	3841
58	relation_100	226
59	relation_100	5047
59	relation_100	4076
59	relation_100	3086
59	relation_100	3677
59	relation_100	5528
59	relation_100	5521
59	relation_100	5529
60	relation_100	4498
60	relation_100	3453
60	relation_100	3433
60	relation_100	4035
60	relation_100	437
60	relation_100	5953
60	relation_100	237
61	relation_100	4512
61	relation_100	6054
61	relation_100	3813
61	relation_100	3625
61	relation_100	218
61	relation_100	437
61	relation_100	5065
61	relation_100	251
61	relation_100	3276
62	relation_100	3839
62	relation_100	4512
62	relation_100	3625
62	relation_100	5733
62	relation_100	3624
62	relation_100	6055
62	relation_100	5732
63	relation_100	3438
63	relation_100	4554
63	relation_100	4909
63	relation_100	4898
63	relation_100	4212
63	relation_100	3082
64	relation_100	5963
64	relation_100	4489
64	relation_100	5062
64	relation_100	3160
64	relation_100	5216
64	relation_100	6015
64	relation_100	5413
64	relation_100	5753
64	relation_100	3520
64	relation_100	3983
64	relation_100	5190
64	relation_100	234
64	relation_100	3082
64	relation_100	237
64	relation_100	6189
64	relation_100	6172
65	relation_100	3912
65	relation_100	4467
65	relation_100	4210
65	relation_100	6054
65	relation_100	5525
65	relation_100	3609
66	relation_100	5885
66	relation_100	4492
66	relation_100	4494
66	relation_100	3093
66	relation_100	4035
66	relation_100	218
66	relation_100	251
67	relation_100	5458
67	relation_100	4609
67	relation_100	4645
67	relation_100	3129
67	relation_100	4554
67	relation_100	89
67	relation_100	218
67	relation_100	4613
67	relation_100	3274
67	relation_100	224
67	relation_100	3133
67	relation_100	241
67	relation_100	4611
67	relation_100	95
67	relation_100	3131
67	relation_100	221
67	relation_100	91
67	relation_100	92
67	relation_100	244
67	relation_100	242
68	relation_100	3075
68	relation_100	5492
68	relation_100	5910
68	relation_100	5230
68	relation_100	3712
69	relation_100	4487
69	relation_100	4492
69	relation_100	3144
69	relation_100	4092
69	relation_100	6054
69	relation_100	4035
69	relation_100	247
70	relation_100	3891
70	relation_100	3330
70	relation_100	5765
70	relation_100	5772
70	relation_100	5173
70	relation_100	5177
71	relation_100	5759
71	relation_100	5963
71	relation_100	5190
71	relation_100	3510
71	relation_100	5965
72	relation_100	5910
72	relation_100	5230
72	relation_100	3712
72	relation_100	520
72	relation_100	5210
72	relation_100	5254
72	relation_100	5953
72	relation_100	3220
72	relation_100	3272
73	relation_100	5046
73	relation_100	3876
73	relation_100	5211
73	relation_100	4506
73	relation_100	5252
73	relation_100	437
74	relation_100	3697
74	relation_100	5934
74	relation_100	5431
74	relation_100	4490
74	relation_100	5001
74	relation_100	5538
74	relation_100	4921
74	relation_100	4909
74	relation_100	5189
74	relation_100	3124
74	relation_100	2981
74	relation_100	3455
74	relation_100	6662
74	relation_100	5688
74	relation_100	4856
74	relation_100	4855
74	relation_100	4858
74	relation_100	4857
74	relation_100	6031
75	relation_100	5759
75	relation_100	3075
75	relation_100	4052
75	relation_100	4525
75	relation_100	5002
75	relation_100	5690
75	relation_100	5693
76	relation_100	5910
76	relation_100	5230
76	relation_100	3712
76	relation_100	5889
76	relation_100	5210
76	relation_100	5254
76	relation_100	5953
76	relation_100	3220
76	relation_100	6039
77	relation_100	4492
77	relation_100	5204
77	relation_100	3093
77	relation_100	6054
77	relation_100	4046
77	relation_100	246
78	relation_100	5759
78	relation_100	3075
78	relation_100	3083
78	relation_100	5470
78	relation_100	5455
78	relation_100	251
78	relation_100	3276
79	relation_100	4487
79	relation_100	3075
79	relation_100	3083
79	relation_100	4494
79	relation_100	4019
79	relation_100	5922
79	relation_100	5470
79	relation_100	4652
80	relation_100	5963
80	relation_100	4052
80	relation_100	6032
80	relation_100	5753
80	relation_100	4665
81	relation_100	5759
81	relation_100	5549
81	relation_100	3075
81	relation_100	3083
81	relation_100	3858
81	relation_100	5552
87	relation_100	3839
87	relation_100	218
87	relation_100	437
87	relation_100	234
87	relation_100	3272
88	relation_100	4487
88	relation_100	3075
88	relation_100	3083
88	relation_100	4052
88	relation_100	5922
96	relation_100	4367
96	relation_100	3858
96	relation_100	5702
96	relation_100	4221
96	relation_100	5489
96	relation_100	6601
97	relation_100	3604
97	relation_100	5753
97	relation_100	4665
97	relation_100	89
97	relation_100	218
97	relation_100	3274
97	relation_100	224
97	relation_100	241
97	relation_100	3130
97	relation_100	95
97	relation_100	93
97	relation_100	219
97	relation_100	90
97	relation_100	244
97	relation_100	243
100	relation_100	5528
100	relation_100	3160
100	relation_100	4179
100	relation_100	6117
100	relation_100	6116
103	relation_100	5458
103	relation_100	4609
103	relation_100	4645
103	relation_100	3129
103	relation_100	4752
103	relation_100	4665
103	relation_100	3224
103	relation_100	230
103	relation_100	4554
103	relation_100	4761
103	relation_100	4613
103	relation_100	4759
103	relation_100	3132
103	relation_100	4366
103	relation_100	3133
103	relation_100	5908
103	relation_100	4753
105	relation_100	3075
105	relation_100	4492
105	relation_100	4019
105	relation_100	5208
105	relation_100	3712
105	relation_100	4909
105	relation_100	5116
106	relation_100	5047
106	relation_100	5046
106	relation_100	4332
106	relation_100	3858
106	relation_100	6007
106	relation_100	5030
106	relation_100	5095
109	relation_100	4487
109	relation_100	4052
109	relation_100	4494
109	relation_100	3038
109	relation_100	5468
110	relation_100	3912
110	relation_100	3915
110	relation_100	5542
110	relation_100	5001
110	relation_100	218
110	relation_100	3872
110	relation_100	238
110	relation_100	4671
110	relation_100	6140
110	relation_100	5087
127	relation_100	3912
127	relation_100	6054
127	relation_100	4035
127	relation_100	5977
127	relation_100	4534
127	relation_100	4412
127	relation_100	3124
127	relation_100	250
128	relation_100	4487
128	relation_100	5759
128	relation_100	3075
128	relation_100	3083
128	relation_100	82
128	relation_100	4494
129	relation_100	5458
129	relation_100	5717
129	relation_100	4835
129	relation_100	3332
129	relation_100	6015
129	relation_100	3330
129	relation_100	3334
129	relation_100	5109
129	relation_100	4374
129	relation_100	3163
130	relation_100	5759
130	relation_100	4609
130	relation_100	5001
130	relation_100	4555
130	relation_100	5338
131	relation_100	5047
131	relation_100	3839
131	relation_100	3858
131	relation_100	5484
131	relation_100	3862
131	relation_100	6185
132	relation_100	4487
132	relation_100	4052
132	relation_100	3817
132	relation_100	4418
132	relation_100	246
133	relation_100	3465
133	relation_100	4058
133	relation_100	3430
133	relation_100	4490
133	relation_100	4055
133	relation_100	250
134	relation_100	5047
134	relation_100	3534
134	relation_100	5030
134	relation_100	4335
134	relation_100	5252
135	relation_100	6028
135	relation_100	3898
135	relation_100	3894
135	relation_100	3883
135	relation_100	5036
135	relation_100	5512
135	relation_100	3895
135	relation_100	5037
136	relation_100	3532
136	relation_100	5909
136	relation_100	6190
136	relation_100	5324
136	relation_100	3282
137	relation_100	5458
137	relation_100	777
137	relation_100	4996
137	relation_100	5034
137	relation_100	3040
138	relation_100	4332
138	relation_100	3858
138	relation_100	3086
138	relation_100	5492
138	relation_100	3475
138	relation_100	5484
138	relation_100	5030
139	relation_100	5047
139	relation_100	5046
139	relation_100	4332
139	relation_100	3858
139	relation_100	6007
139	relation_100	5030
139	relation_100	218
139	relation_100	5095
139	relation_100	241
139	relation_100	6001
139	relation_100	4671
139	relation_100	6200
140	relation_100	3083
140	relation_100	5431
140	relation_100	3453
140	relation_100	3256
140	relation_100	3124
141	relation_100	4019
141	relation_100	3129
141	relation_100	4665
141	relation_100	4761
141	relation_100	4198
141	relation_100	4759
141	relation_100	4755
141	relation_100	3132
141	relation_100	4202
141	relation_100	3133
141	relation_100	3543
141	relation_100	251
141	relation_100	3497
141	relation_100	5894
141	relation_100	6661
141	relation_100	4757
141	relation_100	5518
141	relation_100	5893
141	relation_100	6689
141	relation_100	5961
142	relation_100	5458
142	relation_100	5759
142	relation_100	3075
142	relation_100	5206
142	relation_100	4019
142	relation_100	3438
142	relation_100	5204
142	relation_100	4090
142	relation_100	241
142	relation_100	246
143	relation_100	4052
143	relation_100	3912
143	relation_100	5856
143	relation_100	5922
143	relation_100	4895
143	relation_100	5238
143	relation_100	3994
143	relation_100	85
143	relation_100	3323
143	relation_100	3867
143	relation_100	5121
143	relation_100	3909
144	relation_100	3839
144	relation_100	4504
144	relation_100	3813
144	relation_100	4109
144	relation_100	3835
145	relation_100	4487
145	relation_100	5458
145	relation_100	5759
145	relation_100	4494
145	relation_100	3166
145	relation_100	3817
145	relation_100	5953
145	relation_100	3220
146	relation_100	3453
146	relation_100	3712
146	relation_100	3093
146	relation_100	3124
146	relation_100	240
147	relation_100	4052
147	relation_100	3438
147	relation_100	3096
147	relation_100	5514
147	relation_100	4917
148	relation_100	4052
148	relation_100	4019
148	relation_100	5431
148	relation_100	3613
148	relation_100	3090
148	relation_100	5024
148	relation_100	3614
148	relation_100	3715
149	relation_100	5759
149	relation_100	3083
149	relation_100	4494
149	relation_100	5470
149	relation_100	3093
150	relation_100	5046
150	relation_100	4367
150	relation_100	5759
150	relation_100	5549
150	relation_100	3075
150	relation_100	5702
150	relation_100	5706
150	relation_100	5703
151	relation_100	777
151	relation_100	5910
151	relation_100	6054
151	relation_100	3625
151	relation_100	3506
151	relation_100	3621
151	relation_100	6048
152	relation_100	3839
152	relation_100	3604
152	relation_100	4397
152	relation_100	3834
152	relation_100	5527
153	relation_100	3522
153	relation_100	4019
153	relation_100	3523
153	relation_100	3224
153	relation_100	4921
153	relation_100	4881
154	relation_100	5458
154	relation_100	5759
154	relation_100	4052
154	relation_100	4492
154	relation_100	5470
154	relation_100	3517
154	relation_100	4055
154	relation_100	3041
155	relation_100	5759
155	relation_100	3075
155	relation_100	3083
155	relation_100	4019
155	relation_100	4331
156	relation_100	3677
156	relation_100	5528
156	relation_100	5519
156	relation_100	6317
156	relation_100	4617
156	relation_100	6315
156	relation_100	5520
156	relation_100	3094
156	relation_100	6014
157	relation_100	5458
157	relation_100	3522
157	relation_100	4019
157	relation_100	5495
157	relation_100	5470
157	relation_100	230
157	relation_100	3382
158	relation_100	5969
158	relation_100	3494
158	relation_100	5759
158	relation_100	4331
158	relation_100	3526
158	relation_100	4208
158	relation_100	2
158	relation_100	210
159	relation_100	5885
159	relation_100	5528
159	relation_100	3693
159	relation_100	5029
159	relation_100	3639
159	relation_100	218
159	relation_100	599
160	relation_100	4487
160	relation_100	5759
160	relation_100	3347
160	relation_100	4492
160	relation_100	4494
160	relation_100	5922
160	relation_100	230
160	relation_100	89
160	relation_100	5423
160	relation_100	6483
160	relation_100	3867
160	relation_100	3909
161	relation_100	5047
161	relation_100	4332
161	relation_100	3858
161	relation_100	3144
161	relation_100	5880
161	relation_100	5484
161	relation_100	5030
161	relation_100	3862
161	relation_100	5032
162	relation_100	5458
162	relation_100	3522
162	relation_100	4019
162	relation_100	4907
162	relation_100	5777
162	relation_100	3224
162	relation_100	4909
163	relation_100	5759
163	relation_100	3075
163	relation_100	3083
163	relation_100	4331
163	relation_100	5483
163	relation_100	4220
164	relation_100	5759
164	relation_100	4609
164	relation_100	3876
164	relation_100	5001
164	relation_100	6301
164	relation_100	4555
164	relation_100	3975
164	relation_100	4909
164	relation_100	3806
164	relation_100	3978
164	relation_100	5338
165	relation_100	5458
165	relation_100	5759
165	relation_100	5470
165	relation_100	3126
165	relation_100	5100
165	relation_100	3334
165	relation_100	3339
165	relation_100	3124
165	relation_100	3336
166	relation_100	3839
166	relation_100	3912
166	relation_100	3889
166	relation_100	3519
166	relation_100	4830
167	relation_100	3846
167	relation_100	6054
167	relation_100	3646
167	relation_100	437
167	relation_100	6288
167	relation_100	3230
168	relation_100	5963
168	relation_100	3347
168	relation_100	218
168	relation_100	437
168	relation_100	238
168	relation_100	3273
168	relation_100	240
169	relation_100	4487
169	relation_100	4494
169	relation_100	4019
169	relation_100	3071
169	relation_100	4490
169	relation_100	4931
170	relation_100	4487
170	relation_100	5759
170	relation_100	5549
170	relation_100	4256
170	relation_100	3075
170	relation_100	4909
170	relation_100	5796
170	relation_100	3705
170	relation_100	6491
170	relation_100	3045
170	relation_100	3069
170	relation_100	3704
170	relation_100	5883
170	relation_100	3706
170	relation_100	5798
170	relation_100	5794
171	relation_100	777
171	relation_100	3330
171	relation_100	3222
171	relation_100	5745
171	relation_100	6154
171	relation_100	5466
171	relation_100	5964
172	relation_100	4052
172	relation_100	5922
172	relation_100	3096
172	relation_100	4057
172	relation_100	5424
173	relation_100	4052
173	relation_100	3160
173	relation_100	3983
173	relation_100	84
173	relation_100	5422
174	relation_100	4487
174	relation_100	4494
174	relation_100	4019
174	relation_100	3071
174	relation_100	4490
174	relation_100	4931
175	relation_100	3898
175	relation_100	3894
175	relation_100	3883
175	relation_100	5512
175	relation_100	3897
175	relation_100	252
176	relation_100	4487
176	relation_100	3075
176	relation_100	4897
176	relation_100	5013
176	relation_100	241
177	relation_100	3839
177	relation_100	5458
177	relation_100	5204
177	relation_100	4645
177	relation_100	6054
178	relation_100	5759
178	relation_100	3075
178	relation_100	3083
178	relation_100	218
178	relation_100	5112
179	relation_100	5047
179	relation_100	5046
179	relation_100	4332
179	relation_100	3858
179	relation_100	5880
179	relation_100	3475
179	relation_100	5484
179	relation_100	3640
179	relation_100	3477
180	relation_100	4052
180	relation_100	5934
180	relation_100	5026
180	relation_100	3224
180	relation_100	6293
181	relation_100	3839
181	relation_100	4076
181	relation_100	3833
181	relation_100	4077
181	relation_100	5733
181	relation_100	6055
181	relation_100	251
182	relation_100	218
182	relation_100	4045
182	relation_100	247
182	relation_100	4671
182	relation_100	6143
183	relation_100	3526
183	relation_100	5725
183	relation_100	5453
183	relation_100	4468
183	relation_100	6103
183	relation_100	5228
183	relation_100	240
185	relation_100	4487
185	relation_100	5458
185	relation_100	5759
185	relation_100	3075
185	relation_100	3083
185	relation_100	4492
185	relation_100	4494
185	relation_100	5232
185	relation_100	5492
185	relation_100	5532
185	relation_100	5910
185	relation_100	5230
185	relation_100	3712
185	relation_100	3126
185	relation_100	5542
185	relation_100	3611
185	relation_100	3650
185	relation_100	5530
185	relation_100	3124
185	relation_100	241
185	relation_100	4496
186	relation_100	5047
186	relation_100	4512
186	relation_100	3677
186	relation_100	5528
186	relation_100	5532
186	relation_100	5014
187	relation_100	4492
187	relation_100	6216
187	relation_100	3988
187	relation_100	3256
187	relation_100	3712
187	relation_100	3071
188	relation_100	3721
188	relation_100	5093
188	relation_100	6193
188	relation_100	5728
188	relation_100	6015
188	relation_100	6502
188	relation_100	5698
188	relation_100	5024
188	relation_100	5987
188	relation_100	3146
189	relation_100	4367
189	relation_100	5702
189	relation_100	6186
189	relation_100	3228
189	relation_100	6674
190	relation_100	4053
190	relation_100	5771
190	relation_100	6045
190	relation_100	5494
190	relation_100	6046
190	relation_100	5350
191	relation_100	5910
191	relation_100	3625
191	relation_100	3506
191	relation_100	778
191	relation_100	5953
191	relation_100	3220
192	relation_100	3839
192	relation_100	4487
192	relation_100	4046
192	relation_100	4322
192	relation_100	4407
192	relation_100	5212
193	relation_100	5458
193	relation_100	3347
193	relation_100	5470
193	relation_100	3256
193	relation_100	4997
194	relation_100	3839
194	relation_100	5458
194	relation_100	4397
194	relation_100	3834
194	relation_100	5423
194	relation_100	3365
194	relation_100	5415
195	relation_100	4487
195	relation_100	5458
195	relation_100	3075
195	relation_100	4492
195	relation_100	3836
195	relation_100	4752
195	relation_100	4665
195	relation_100	4761
196	relation_100	3839
196	relation_100	4487
196	relation_100	3332
196	relation_100	3728
196	relation_100	3330
196	relation_100	5860
196	relation_100	5004
196	relation_100	3331
197	relation_100	4487
197	relation_100	3075
197	relation_100	3083
197	relation_100	4494
197	relation_100	4019
197	relation_100	5922
197	relation_100	5470
197	relation_100	4652
198	relation_100	5513
198	relation_100	4168
198	relation_100	4832
198	relation_100	5324
198	relation_100	4371
198	relation_100	4176
198	relation_100	4041
198	relation_100	3139
198	relation_100	6517
199	relation_100	4494
199	relation_100	3308
199	relation_100	3093
199	relation_100	3309
199	relation_100	3513
200	relation_100	4052
200	relation_100	4227
200	relation_100	4366
200	relation_100	5906
200	relation_100	4175
201	relation_100	3839
201	relation_100	4487
201	relation_100	3075
201	relation_100	3912
201	relation_100	4501
201	relation_100	3712
201	relation_100	6054
201	relation_100	4017
201	relation_100	3611
201	relation_100	6186
201	relation_100	232
202	relation_100	3469
202	relation_100	4092
202	relation_100	4210
202	relation_100	4099
202	relation_100	4077
202	relation_100	4909
202	relation_100	5863
202	relation_100	4322
203	relation_100	5759
203	relation_100	3075
203	relation_100	3083
203	relation_100	5453
203	relation_100	5454
204	relation_100	4487
204	relation_100	4052
204	relation_100	5025
204	relation_100	4219
204	relation_100	5696
204	relation_100	4871
253	relation_100	3846
253	relation_100	5492
253	relation_100	5431
253	relation_100	3613
253	relation_100	4338
253	relation_100	3712
253	relation_100	3865
253	relation_100	5922
253	relation_100	3224
253	relation_100	4225
253	relation_100	250
254	relation_100	5458
254	relation_100	5431
254	relation_100	3876
254	relation_100	5493
254	relation_100	3224
254	relation_100	3225
256	relation_100	5458
256	relation_100	5963
256	relation_100	4019
256	relation_100	3604
256	relation_100	5621
256	relation_100	3605
256	relation_100	4909
256	relation_100	6315
256	relation_100	232
256	relation_100	3271
256	relation_100	5461
256	relation_100	4916
258	relation_100	4487
258	relation_100	5759
258	relation_100	4494
258	relation_100	3636
258	relation_100	3353
258	relation_100	3093
258	relation_100	6054
258	relation_100	228
258	relation_100	5207
258	relation_100	229
258	relation_100	89
258	relation_100	3269
258	relation_100	5953
258	relation_100	5726
258	relation_100	3220
259	relation_100	5458
259	relation_100	3075
259	relation_100	4907
259	relation_100	5431
259	relation_100	3453
259	relation_100	232
261	relation_100	4512
261	relation_100	4052
261	relation_100	5022
261	relation_100	4230
261	relation_100	3625
261	relation_100	5187
263	relation_100	5458
263	relation_100	5963
263	relation_100	4019
263	relation_100	3605
263	relation_100	3817
264	relation_100	3075
264	relation_100	3083
264	relation_100	3144
264	relation_100	5431
264	relation_100	5026
264	relation_100	4057
264	relation_100	3224
264	relation_100	227
264	relation_100	5690
264	relation_100	5693
264	relation_100	5857
265	relation_100	4052
265	relation_100	3256
265	relation_100	3526
265	relation_100	4035
265	relation_100	4909
266	relation_100	3738
266	relation_100	3271
266	relation_100	3230
266	relation_100	3470
266	relation_100	4366
267	relation_100	5759
267	relation_100	5470
267	relation_100	4752
267	relation_100	4665
267	relation_100	4667
267	relation_100	3123
267	relation_100	234
268	relation_100	3839
268	relation_100	5759
268	relation_100	4609
268	relation_100	5232
268	relation_100	5423
269	relation_100	4487
269	relation_100	4494
269	relation_100	4019
269	relation_100	3071
269	relation_100	4490
269	relation_100	4931
270	relation_100	3697
270	relation_100	4907
270	relation_100	3166
270	relation_100	3279
270	relation_100	3298
271	relation_100	5759
271	relation_100	5963
271	relation_100	4052
271	relation_100	4494
271	relation_100	3308
272	relation_100	5046
272	relation_100	3693
272	relation_100	5029
272	relation_100	3639
272	relation_100	4232
273	relation_100	3522
273	relation_100	218
273	relation_100	238
273	relation_100	4743
273	relation_100	5686
273	relation_100	5919
274	relation_100	5458
274	relation_100	5759
274	relation_100	3083
274	relation_100	5470
274	relation_100	3334
275	relation_100	4487
275	relation_100	4492
275	relation_100	3712
275	relation_100	6054
275	relation_100	250
276	relation_100	3898
276	relation_100	3894
276	relation_100	3883
276	relation_100	3899
276	relation_100	3895
277	relation_100	5047
277	relation_100	3839
277	relation_100	4332
277	relation_100	3858
277	relation_100	5880
277	relation_100	3078
277	relation_100	5484
277	relation_100	5252
277	relation_100	6185
278	relation_100	3839
278	relation_100	3846
278	relation_100	4487
278	relation_100	3075
278	relation_100	4492
278	relation_100	4035
278	relation_100	4046
278	relation_100	3513
278	relation_100	250
279	relation_100	4492
279	relation_100	4895
279	relation_100	5423
279	relation_100	5864
279	relation_100	232
279	relation_100	3295
