itemID	entityID
fpb7G1EcvFNOMGXG	4065
hLXlKgHfmO5xE6CJ	4301
VkCq03Jk6MeYb9Ab	2650
4GTHFUFPORaB5sBy	466
fEcHN9r9ndEaCmkL	3941
0g0ejoNVK7I5XW4n	59
AxZPdYQ8pYh3yz6m	1014
TKsySf2nFm4UV1cK	2452
h7Iq4LydNaQbwomS	4286
qnE4wd317HzB2IR8	5614
8U3YdO41396cDfAQ	823
i459yfhYesL3LXEg	4425
iTVHC0FkMwqm9B4s	4455
QXtlzad9o7ejNuDq	2238
HF0m0OoUtut54TEf	1516
l0w4xTzjY3h1tbi0	4791
J3kt08GFg0oxyDER	1660
w3jnkMkGSfbi72Sw	6432
fi5YrspvvYd5E0ub	4026
heKqNFfBYMTj7e7p	4346
MbX4LjkHMIoNy51l	1923
nLz97mCN8PIBdDr7	5152
IvQubz96e1kD9Ggx	1652
IIaxsoFj38Au4mEE	1597
LCvTGvPAeqpTrTCc	1821
SCSpwViztCT29H8M	2369
oot9J4D4fz1JqBTN	5342
WyoskWdALvtjGrEp	2741
dJArlkAvozoVKwXO	3584
fRRXy2hwX6SPbqFx	3957
AEqw0pb3SlGA8R33	953
6KsMWN31EyPBrAKz	622
Ui8DaI02cL3MdK5f	2566
5v3x1RvK7v0wtBcR	595
l0ZciumnAv8fElze	4789
JUvl7Su9mo8xkQ7o	1701
N6KyMBOv5i0lWQ9E	1960
0NaOCGE2Lkzbils9	36
umrRdJWS4OmW2Kw9	6297
EUZp5lgaFZ44OX20	1280
hJnw262lvldHz2BL	4297
yyqrw2cJzKj7qeok	6699
SI7vB3M69YcxYXA2	2374
qRIsbqYhFGcAcAl7	5587
G2Adx0DNPZa7O51F	1397
u6WWDZBEBlwk5tnr	6238
vLcLw2wIsr1F3esl	6356
DWC55pcxteEzFWga	1207
eOomKUt6dCXylkR9	3792
3sl0mmWGoFnBWCrn	419
RMebcNDVGRUj8Ybm	2300
NX1OGy51SO2Yc8NB	1992
HShn17wSBoxp2M6P	1538
qKnFLjSfMOIHkQM5	5578
eO9NW0Y3oqgX2p2R	3789
8OWXB9w9iyau8g1o	817
vcjaJsQ5WdYRHIWC	6374
LQs4uhrfLofhK7qQ	1839
X83GZ72F0pcRcvTH	2757
ePyJTAgehh3zHvD1	3793
dH2z2pb6ZA89GFLe	3580
PKuEIMgMAShqncwG	2148
PvyKzuD8i6m1qztk	2191
0qExVlZvURBU6HSD	73
HSVxR8ZwpoKKglMI	1536
dSUvw5wk58oxqbDk	3592
q63B4oOz8LcsVwS4	5567
EJWdVwhKJ6q0pG7z	1266
wB3FXAjc57467v9f	6439
JCYADEbn7MkX75jk	1673
I0jYTKQdF8uDn4EQ	1577
UXe70n45hA2PiWby	2546
UxZ2JR3hdFI5SnbC	2579
erLTjhX3zYhL6xYF	3879
MB3CwquQR8FJs7tP	1885
iI5bYXYOPkG23iFO	4444
exN2Va7NrKEvsDd5	3906
wG7Mu5QQQ3ZDDyvX	6449
vLVGsIrfLR9L9UgJ	6355
DNDvGyjrcUCLrpgv	1200
ZDKVprJ8CY0otFP4	2924
sj8mRHbXAkUWdWS5	5924
k4cVzWXvERCL5czG	4677
zQwEzEqPTMOyeoxv	6725
yqcN5fF9m8CTW0dc	6680
S4k4Hbm5er8V0DxE	2360
ptqNJAT2fdc1xhAg	5547
0FfoKa4zHXdvTsgU	23
RoWa9UbXGQ39AAea	2338
4Vo0qJDLJXsEN3SE	487
nTB5sOc0nCyDvCPv	5166
8IMoDW1H2bBa11WK	809
TDH3DvQHPW6mPPUS	2439
dy8TN1lTSmh7nTmC	3748
yeeM7N9Rpmfh6paZ	6660
DMGdM65UNxbxoAb4	1199
QGjrZZJtYQo7fqYg	2219
xGTsB6vW6pek2Bwz	6562
Shu4fShVQIRlhhf1	2405
fzZcrtCgW0bGu6ne	4118
YuThBOVvNeymSXH4	2896
87gEV49pwe1uQUsL	790
HHB09OecPCe3AVRh	1520
6SAR9xgPyB90AJv6	639
2gklJ4LC0FbpOghq	312
4URJeChR2j4My14I	485
rq1gAMyxp0pIX5Jg	5786
6eZihFciiAjKVNA3	658
t23WM0FcfSRKIx0I	6060
5HbR1s8oMzHCOkEh	544
GNSbbHCs9ArtTnM3	1436
J4FAS7Xq0wInhDo7	1661
KDoJcF7hXjhVlwrs	1746
b3OpNrSJNG3e475h	3173
trZ4wnZXWSquIVYG	6181
1rtul4j3ViHhsqLM	198
RoplqBUdch3yk9j4	2340
zmxCHQCPCRm9jndc	6761
3lQtWsLZCMwLn5po	411
AmPsFtAtpdQZz3Ol	1001
gqlD12cEuaj1dgyu	4237
wSPBVumayCoT2TpP	6463
8TWRhzHzeRlSp0Bh	821
G1PXE6qYFCVob5KW	1395
sP2jUR9QyOpn2isx	5841
R4h1llElMNPOcefS	2274
dZniqxcR0EQrOnHs	3602
oIwWI8m57BwiXcrM	5293
uxPYFbqe1CZZx0fX	6324
c1WpRsQwIcP5adaO	3384
xOFhOs4dkhRjQkV8	6567
2nftOXfDTM1UKgUz	323
kYTGBXI5opSRnGrJ	4714
4SVOKhfWz8O3o2ix	482
TX9MVCfjz82ErALq	2464
cjVAFn4Nd03QnsEi	3490
f4eepQQkg2ep1b4K	3926
lHDOo5kBpb0Mq6i0	4809
MYMkp8undyV02g3c	1920
RqmMnxmRdmewekVj	2344
An1fLdq0CYNNRzC0	1003
3FK4EAFOJeXN4e84	370
rdjPyetNnLg9IJ4a	5712
txuJzssC2KgvJH72	6220
LAmLuNffCmI3XzIl	1816
d7iX6GtONp1VYfYW	3565
1TBoK8eQ9EG9TULK	159
1VmrtuLuf12BczLS	163
eGOuKz8KnruR0lJH	3775
LOC8OMcvlUnPiO6I	1835
NXb6RWjixlTSoR3t	1994
keQWs3ID7D9EIDQo	4728
otDcuE2b2P96vbP8	5356
5WKOH9Bg4jHrbptT	555
ZMgkddaAdAcEZ7Ts	2931
lewCZTJQAoUkaMAl	4861
OED6tDqoDRXyUbrd	2056
IKWofqRiOq7xfkzF	1602
4mUv2IlmqBk2ZlpK	505
zMmRUeIwWI4sj9y4	6721
3KORx8w6GH84q5rt	374
MQ9weWSKeiCoBhhj	1906
Qmypm0wJImrkfDAv	2257
R6MGrwkrhsCpK73i	2277
AGZ5zR1pV46IyG8S	957
PG14dvfslDhmteo1	2138
x0wOnarkiOorQB7t	6537
DNxXlUUNqX4saEBc	1201
LDOt6mI8RCfOtVxG	1822
dqBfAb4IDkqjVIow	3701
gphJZfC9rikKnAoi	4236
KNrCyvZm72GIV6iO	1762
6Wzc5E025dz1io64	646
GpKqgeSCVyvsprSM	1478
F4xloA0xoSOSVWFX	1315
wauzBzm8hila2eTm	6471
iwRMbvwS4Z0vbZ8w	4543
MLrUwj9dk9P9uQEs	1901
wiREcYtPT9IfS9nm	6498
34zVhNiSbv7u9r6o	359
45GfvkxqVX8RmUoL	444
1bkHKPeGLozkWtsL	172
lbmyT0XVylhMa63G	4844
QpILTNUtcoMKKGZY	2260
beacJ4yGV4P5rzkl	3252
59c5YcUgzy3P1Upf	536
RztlOAzZd2N2wFAH	2356
BCem2XnSUpVrOhMI	1035
QnJ5yd9l0h9c1eqY	2258
ghRyim0wlKC4V2Tb	4189
Ld9hQbog6NYVNH5V	1857
Tb5DSnoNqLWi5Iq5	2471
l04AlX302o63frzT	4788
46uktHuUeHdl4QGk	449
8Eb507N3GufluUf4	803
8RpQDRvOMhNrfG1R	820
2wVC2V7MTHnGYa9A	341
Lco0LjpY0HTHS8Et	1856
aVFAE1RnCPHwMlEV	3016
ba1kFh4btLjXbhrD	3214
f7BPIFQ6Y7DFjKoO	3930
fQTVQgws4RqgVJC3	3956
wcUo9Yyb5hVxepIj	6473
Jgb6rHGPBGMa7Woq	1714
R7moUXbjzyNjtEO5	2278
hRcShlMurQITXLWB	4307
xkJZTMIoEjd66vaG	6586
aWo7XCdm2fXQg0pu	3018
T26to7QvI61axPbe	2425
1Or1pwGZlzjSZnXo	150
XGd9oSloSl0eTl14	2770
RUauDClg01NMUX9C	2317
cek5lacu0veYyn93	3444
lx5TLpzdQGsheGnh	4937
EnfGlZYb0GuERQBh	1297
7YbQciHjYCp2rz8S	729
U17Rii4cXDInPri6	2505
ltB2PDOjzF7I8zZC	4930
WTTPrDMEGPuvfivo	2698
ooEtPIM3qtPkDiNM	5341
6bawG7C6rEFNzc7B	653
trjGwh8Dl5muWM2Q	6195
h2dD04NifUxePlGa	4277
FPaGJLZU16dsGvtf	1342
gKcFXKO7MgP8HFqn	4138
mLnolymrPto3i4iS	4972
f0yIU1JIMSHor0jo	3922
GneYiBQdZTOPRaVg	1475
58lhz8DyLLxSmoai	532
OpF7nI66rhdLecgv	2098
kw0cdtbMSLHElves	4781
HG1cuT9G5CkdCcBg	1518
zqglVIowjob0jRtl	6765
7c4q93fc1bTDRyip	733
g2x4eNPDmw2YkM0Z	4122
4A9TWPbWoyPeVz0S	455
e0YgFPXXbO3XgtK1	3754
8lNPwRTNsL1VBbFj	853
yY7FuVK2I3PMt83s	6650
5iOVsNMN7FGYErPF	577
DyHIkOP7apZonXZH	1243
2v2ytPyHK08Jk3EQ	338
tecomBGxtyBGnysy	6122
vf4kdyfDFl9jHDb3	6377
0RYfxZdy2BWt8Db8	41
0phKZhvkwKxZRaA1	71
YRITQ7o80HnaO5vC	2863
ib9ZYJjxnTl230hk	4460
wBJo2rvH1w5AmrCa	6441
Gkrs4WqlRu9nEUos	1467
XkDpzfspMLx0paAe	2809
cV2mdHFJENCtCFlk	3420
obXKn68thqrnzLXU	5316
t0I99OFIbnkvwxe5	6056
tER3tzLGyzxLuedV	6069
1EE9IDRMvsCjQFU6	135
JzwkR7dQzPDrRpmg	1733
NyGfrYUdLPiAzzjf	2032
p1pbFpvFRuTtKH1s	5369
ckmCvufz5fsQcdaS	3492
OX2WoOD3TmrLjBkI	2076
KH75Af3xDcRbcX7I	1753
LpqGRMYM2hwLwB4J	1866
P3LHJUFUSP1Sz7HF	2118
ce30DJ8qay1Zyn5D	3443
khiTauGSPWwSWCF3	4735
AtrdIPIgnEXQrSQU	1008
GcpWlc7knk4OQO6h	1457
OYFgQeYhTRuJB55z	2078
9PhjS5PpTaD83W71	904
OG5rv0TLokEVu7at	2061
ZC1Vjwu5Th8tOCud	2923
QX9UYcKSERHdp1YT	2237
ZYxxXz1pPv4lPW9a	2945
MWkzS4Y3H8zmh0Bq	1917
tqWeiFvAEZnTizqD	6178
RPfr3oFF3oQPvN04	2307
56koNbl75FtXIpcy	530
hpIcf4HWkOojR53f	4400
ykc8uylnpfHFFjjt	6671
sEjaPG9qKBJcuc1q	5826
upnXfHOvbPLtQbJc	6306
fzne11iMG84oP2Lz	4119
6U0qwqza4o7Q2DNw	643
3jO1z2HwJTvJFzcs	409
ijuUfTe8tClah9XF	4481
TwA2A7dXpSaKpuGN	2498
XsXncnbzlzyTrkzn	2820
GvOMI5vrtrwXnunq	1490
bbuN6DHG6hMObJid	3248
O0XD2rYrzGEiJdj8	2037
lxbQ8bnSHMTfHjC2	4938
lsaY6cB1Lzo6ZkKD	4928
zKfhfmRYCZT9EtJ0	6719
baX7h3dUQuoYlgJK	3216
1gCbobEgn1u47YD6	178
cf6sJ8Tl2Co4BtzM	3447
F8rALsQ3ygOw2nJK	1323
YLsnRwxE03MTjbtu	2856
EB1kiqOWxKK5A46n	1256
xzYUcPpE7zIHpyY4	6605
JRcGAoLy3HcVEHbx	1697
Yq5gZXZYc0MzeR5X	2893
kymhqtPA2sTpiMCi	4784
J4OLhqZCvLoJi2Y0	1662
QrkIfu8NKFyZAUgO	2262
NPCPbZaAybCzYERP	1983
OzpLXH1AYFA6i2h9	2113
CF79IynlQKVmLjL4	1116
9JmX6zjnN80OZ7hQ	893
WBfyVNbjKkeqxVvH	2678
bE3TPt0JOACpobE7	3187
raiiiaF3ujLMWCO6	5695
j28iuLKofbrYBH6t	4559
rhzaCTRxmG1yys1b	5740
Ct2bcXGKxx08EBAO	1164
atu6tjQe3PnJ69KG	3140
cxwYss2P1SRgfBTi	3549
UwX7Lg51DqpsnbGj	2576
1r3jVnFq7fjf8oXD	195
FQWAMKhKgutuKwDN	1343
YzbsrSCqi7rMxYby	2905
ANaFjVKaxKxGxjG3	966
rKA4DQPsdE4HAw2X	5663
6VheLjpCHIyZ0dNo	644
BzV9M96W2YJM8Jxv	1091
XmRycetczOBCuLzC	2812
fr0zWSBJnvRQl4wO	4068
gTrjwW6v9vP6mQox	4148
i5vRDPz9mJERSjCZ	4426
ZluLpqwrOL6r9yF8	2961
lKgylhWdrnlNC2xx	4812
s1Ryupk0XeufgDsX	5807
ssSOM9nfSsLYLtH0	5992
yBcssTGMfN9AxQIc	6625
YXJ8XuMgU69azgtP	2875
IwoSp8WwKij1uKbI	1655
O3NYEVj9ZePgKXnk	2047
H2tSqcGRNZYdvXJN	1501
C9QUSSUfYMR8REX9	1106
oW3F81T3FWDEVTJr	5309
OPSAXwFvCJelX2OA	2069
Ri0k5sbVj8akYI3c	2330
FeogZAHPUx67UZ1K	1364
bPjpuWtQrh2LagHN	3204
auPNu8RVXP0FD1Wc	3141
cRk4GZHPrLsmnuJW	3416
xBzeEuBimgHvh38J	6555
GLF3crx5SBWO0NUM	1434
Z6wFUWtlPdMv1Y4Y	2918
gyzHsPTCnaH4Vx8J	4272
e6Htz13iLInQhiFF	3762
eBb9wZFDI4qevHZC	3767
YApEqRpOynavbYNU	2847
hsaGhm1SJWVQGTIE	4405
sWmNFRNMpNbFB1kV	5849
tlOsb1R2CHTbyPSp	6163
9LVBxIIcJjLqOoRt	897
dVlcmmATtlPE8wdp	3596
bbLAwnx69pwMvLfw	3239
HQcQ0JmhFHELpK9X	1534
4LqElqsxeXeq5F1Y	475
zbtQlt2wCpeSvtG0	6745
1W9vmVQdUq3msjD8	164
3SJsjgcxKHzcJStX	389
Hrt1XxrqUBNC4rCe	1566
P1i3i7762urIBUKs	2116
bmL3jT2zwEKBgXn7	3310
j4FAchGwrudUcrA3	4563
fz1aCgn15jwOkkrR	4117
8gTW7Jv9oaBLhtz8	847
kX7S7S1zL9L2k4yw	4713
wOJreXO78AWATI0f	6455
dI1Ei3CszSCOR96G	3581
yZgMvqgyKxHV5ut7	6653
ndfisSGXpgJOsm1J	5183
0FUVOmkmLDVyLs4U	22
3fdahBcuGaqQOqNQ	402
E5N07nR6ZAtOjXjb	1250
J9HoJXyqBBNR7s4X	1669
Q6hGRbMaOnbg4UdS	2202
TfsBk5DKIqNCJgs1	2477
LlTBoEBAt9wsK8Th	1862
L1X421yBEQRMjVkf	1806
3uLlZJs1RrvUt15v	424
B0LVlxlk8ij8eYv8	1020
1nCOl2HmKRBFKmtC	185
FJqTTFtM0j7lo9kG	1332
LorzapbK3XS7Ysoq	1865
4NE9ZMZxdYAzKyik	476
HWbiBda3C4BiUzFW	1544
RtryS8Lu8l7bqIPd	2346
lca8VOorDdI3jE3S	4846
57LszefhhtIHgIbd	531
5e4H7wA0eygL6Acb	569
iNIuxUldCrj9Zmpg	4448
JAUoc2pqDU5XyYC5	1670
stmvJR8XwU72o8AI	6002
bHHjMOAdAg7Z2SYS	3197
1zlRbs9j8HJPc6LF	204
K3ZxLSkvdLw9ggke	1737
eQhY7R0s0AeRfwkH	3794
nDHMhy5QIrYqICFZ	5141
G45OZEWvtNm5NRy2	1403
AKdgfu6oLtrGDVXK	963
Ql74z7oUVj6x5vf4	2254
o3IbPJ1pP7MUZowG	5272
TJVr2MhTChfTRkgN	2451
KXh3ggVz4k7Sd1OF	1774
8KvOcLJspl9pgjjz	814
dFbdQBKU6jduL2G4	3577
1O0Xz2kqiYt2EbvF	149
kLWiPkoBWys5Hw8g	4702
6u0O8MzajzSFsr9F	675
GsIgC6ksETZwCGcT	1484
JcKeU2V6d1LX9T9J	1706
QcB3fPKYaNV5Ip51	2246
jbr5HHg0kg2hJUlL	4622
mMnxzuLJYviogKN0	4975
UPsbR78TfSSjQHot	2535
Uo9JPtyTTWxTVLQ1	2570
7unKKy44ZRZtEgs7	760
hVmMzxIPgyYEcgo8	4315
0CPaPC9EPaEERWha	16
m2847Gm6ypYwQH3e	4945
tKMNNv2J1LIhCtjP	6075
xQXq8YwEBxtd5v97	6571
01ScM29f0wF2Mnkq	5
GOgUEWztKjag6ZcR	1437
44GMCQg3Fn0fUOqg	442
SVOxpaNPA9adI8RQ	2387
SyrSImFljkeIdnVY	2423
c9YrDN3JW8CTzHHR	3398
u5rUcjp2pOj3bUGA	6237
TBkto4BghNL2MOSV	2437
f0pxNsW75CUZHqsG	3921
Uz222Eg2UWjWlQsP	2580
I7q8szLkBR55g4Fe	1584
oFkfG5VdCK3CHL0t	5287
BYtTxB48AWlun5ax	1062
TylBWwvftqiDyQSH	2504
HNQ7BTsqCWkjXhKq	1528
X8qAnjSmOYKRC24E	2759
tXAgQcoQxZtud0Hm	6097
UsupPzh2cemkwQxf	2572
9RlQG1HOntA5ldXO	906
DYCBUaQGdPA2v7T0	1211
2IuvjbnV2KC7wc58	281
ASDi9e0yR1XrLlFQ	975
0Q2jqWEWgjjq8RTV	38
IU1IXC0FcPQFRe56	1614
TAr8dqnWvRoPN7Kx	2434
oKqhlClPp27ch7mm	5295
fuRsozoi9WZnn47l	4082
9qeT4xj0FKEQp85g	933
NlMmzOiM5jQL0AIN	2012
xtvMxXzQJxpc8PM6	6593
QoeX1MwJMwoUuBFX	2259
VlGI96h3Ugt2YnTx	2653
cn5cIXow0ir00qNa	3500
yW7HaFbUjGvjhptq	6647
LYot4W32kHWKash7	1851
zfran3DqiPMOj666	6751
DmmeJICwzEeLHIup	1227
muLaXP372qdtyoGy	5106
8kAuhNtLQTtYDYEh	850
IggwpiCawJF9lDyA	1637
35XvmXWECenI2SpY	360
zVaurSbD85VqTSdD	6730
hajzeSPENZebBa5G	4323
PNyLXCsV5DrkaL3R	2154
BKQdojSyTHFgcObt	1042
qO9FVDZzkqU1HZ3d	5584
wjedger9RHfwUBAW	6506
CA5FrL00pvKrBJcO	1108
ZydzAW6UsS1Bk7lR	2976
Fwtz7NMdJS8BN9fp	1391
a22AtFco7okAmjmY	2987
qcDMYfM5CASTfnYm	5601
4HeRbK4GR1vnpPMu	468
QxfYzEDzTZv82BfL	2268
uPCVpOTxRANv8GIY	6262
I9ZbTQi09bVuKmLX	1586
ZgSZ8BbFPLdDNdKE	2954
wdLZmae5nkFpSXJa	6475
5Lj9RHqPeuwv1vhu	546
giU1kU0HRMZLvMjf	4194
nFZMSOdVSjGjJp4z	5145
GJVD0Ag8B6lVoJkE	1432
S40yP4Kjjc1gaW9H	2359
kI5jm2yQS0r1sQWr	4698
F3Z9AkXlCdGosb68	1313
fuuSPYEc5hzN1J0Y	4110
mlq4F69u3jr768fh	5076
np5J3i0oSSaE6bHN	5243
GFikmMgAnzF8SygZ	1423
siWsTs8ymHkLik2x	5914
qcvCH2uNFIvNtaEg	5603
6S3hiGxTsUYoiXQ2	638
l198V6y2gtuMCi0T	4792
7PqQzremHtb8vfVT	716
tcaYZPW9O5CXz9IR	6108
VY0aKvhVDyd6jURy	2625
N6ghLtxZxUA3eIrr	1963
K6d4CkUE2trO3v8o	1741
hoWszV7ka8IQr03g	4383
vAdyv7Zk0olnLCcj	6339
D310M4mA0f7NZE3O	1176
YHLo7CVKC51NSlsM	2853
5b3hiinYGzq6w4pf	565
LQ5dn0P5dclBvwDl	1837
qFwbuUJqiuAX1T7F	5575
UQk9Xmve2djtcEcw	2536
3uXOXJsblMZfY12A	427
ERNXtPpEOfvqFSh4	1275
FrwybpoI8vx86mW3	1382
dFP6Lt2QdCUtzKQV	3576
eGWZPaUdIEPFQ8Nc	3777
zjfiUDUWuiQGKMzH	6754
BsjiBoGuWWlLgcH4	1085
vhqS2E0zUJPeZ421	6381
OZFUWxluXFyHNZ59	2079
tXpnqhnmStLATIO3	6099
aMw1sXccGVw1JPad	3010
kcaGVQKbdYYz9657	4725
PKF1HCNCBook0vDD	2146
j0V0sZd90BBq4ksj	4556
wEKwHgPqxuUF7GjN	6445
1k7ZqPN6rRenY8dZ	182
PwCI7LTOYdCYBotc	2192
fOUKQKIIP9qY9rAk	3951
px4T9cVQ8uZ5GA22	5558
z8sO2Xdm0RBpJJuY	6708
S6oku1HduwMfMfua	2362
CtUAJWFZ3IZoWYZ2	1165
c5nQGbGMTHAD8rBe	3393
iqg1mkQlJ5j2JgRt	4524
IVdgfhqIBcQUTKqV	1618
nYZ4U0yhe7j8Q5Ov	5171
SZyYXKq8XoSz3Awi	2396
dmUMnSEr6zWbx1nO	3681
5ibkS6snBiM1oZ91	578
DwXxauTVWqEDH64B	1240
LZGrVFWwJUx8pZjk	1854
oqp7CeSYgEuD2TuT	5344
MUfRjZRau8TTMvJf	1913
8gRnetOsjZs7lcyw	846
T6Ve3ygINtVlzExI	2427
jlXM9le9bHydHzLl	4636
TubtqTdLO2Okoann	2495
wyNbI27VjRCWIcu4	6533
ejwvr4SZaZIIJQ5c	3831
uuu55PHn7rUXdbjw	6319
v84oS08wATmQ7s7N	6335
ANb2dXB7QUmTTN4Z	967
DDq9eRHMb0WlcS4x	1190
DFaLZiWASsM5ChBd	1192
DharjprPbSyJqeMn	1222
3ykIZD8RP15XSCiQ	432
8tSf8dEfCOSUPUTF	860
HLyLAoAQubSBud0x	1526
RRS48TsLuVuKIiRs	2308
B7btQafueMXuAB35	1026
F00ei1eTMBcjhnJP	1308
SnOkqLzkiIHo21D7	2410
Vl6mmi9Ub6Ge3ROc	2652
NXoPAL5WoyY2xKpe	1996
ub3I7mqNuPa6gGXB	6270
LZ37OMMnRhvQfKMR	1853
PSDt9eECDg9w1krZ	2158
GBWhiRBjEIwQy7UT	1417
RI2JEWYnhBBIOpYy	2291
X3GTKXGWkj56tQLh	2750
gXLJqUXBMLaAuZO7	4155
h3pU4u0DYNtXWaIJ	4281
B9WlnS1klvHsPbbG	1029
LGIU2IkfYoTiFbmN	1823
RdqvQNsH9hh5p71t	2325
SyW0FymjFVQ7tQSG	2421
pqH4XoV9UZx1GPWI	5500
eO2a29Nnu37ZH31K	3788
KFFGljW6JxAqvXlc	1750
6CMPgkIbzUV7eGaf	610
7Wif82abGd65loGr	726
NXPegZxiM2mI6yjI	1993
aFftXOO19z6W9qT9	2998
ZSC6TEBDbts1aH0A	2936
31uY67hbgx3mbTo6	351
oej2fCZ2DGvXjf3O	5321
hjyDuO6WH2ErXDRj	4375
6DxGXg72FfNt9YcS	611
P5nYYfaxtdbDimea	2121
l2TRupUFNXdDLU9a	4796
RiRcvuwQqD9R8HXc	2331
aUbD6C3U0E8e4t3t	3015
mKd7VDHx6VZDrjQB	4971
baDuerXJ7Lx31E2e	3215
Hdhwr66l00nSpPSn	1552
KhAwPAb5HxUxe2SJ	1787
IXlM6D0eJiVwDSwv	1621
7dLa5RPtBVDIUKmR	735
0Ec3IG2H3j1oG5hG	20
9dObxgayr5sgyWk1	917
G4Z13wojt7OYNqCk	1404
XpQWHwFvHkSBshiF	2816
eCkfNyBkxeOTOKuJ	3770
pSfJcrGENKwKxvmG	5395
w9zlTnpRoEhL2ogJ	6438
MdDA8JWc9MseaIsD	1926
0GnTDgYjq26RBVmW	27
1d01VJWvaRF9XCTc	175
kQrBpqxbJKeRl6LU	4707
pEl65ctTg2SZidzP	5378
v8Nv4QDbzb52rETB	6336
fiZrarjVdoPYNDnq	4027
zZTuCuQaj8ER1FIo	6738
LrUg8AxEqwUiELnU	1867
ieenQgNTR8PofvrB	4470
ig2eUDZ6Y6p3tk4p	4473
joGqgq8vwABafvRm	4638
CHwd2DzLo4Y0QbDP	1118
Ffy0GAUibMGkW8cP	1366
TImVLr9CfjpMTEQ7	2449
gV5IddD5QYMygm11	4151
XZiMAuN6NSgd5Y7N	2792
gJapP8Zjs9GWKA8l	4136
AbiU9omdhm5vksam	986
omWIhzCNj4V1tcxx	5332
0nbm4iXthNBBqirm	68
MUsXSO7PAjPnBp8O	1914
lRV9rEO9MvxGR1fJ	4816
j4JvNAxJVtGm7aXb	4564
IKPkZLNa6KhaXXze	1601
Ru51wZ5NLJdoXR8W	2348
Vde6NYOUYrL4BYHi	2633
VOU73Wa0R12QXppz	2609
vkfO8pEsLoVJkqqE	6393
jkdfCFYi0SBNfs1f	4633
ljZC0HV73FGtwbub	4890
mKQ0uOEnZxRxwZrm	4970
3Mi9toldeI1yNj9H	380
KtuBiBx6SGPo9PRO	1795
KJnAHJUXnONThtY1	1754
ZXnuJAhm6MGARISY	2944
79LpuBCStwSOOnej	700
yfMBoFp3z5vxvpOe	6663
1qi7nwH2Sfwp7eXE	194
Rwwd3ctDqeAv7cMC	2352
ctjiqViXSw4noTkC	3539
BuPlWmnZzgtcFgl9	1088
0Gj4pqFby71rvq08	26
EAP3URnaMqCZZJKt	1253
yUbhJXddVPsV05I9	6645
ZgsXwOO0gBurqog0	2956
fKGW7A5nG0Tmh6bG	3947
IVKlzZsL9vbkWZeW	1616
3saT0fjF814XQz3y	418
SZvEWcMWZVnuTtrZ	2395
k4j1RLeKVcnkvx1W	4678
hu4lEsb46ldjAIPv	4406
Jex53BBs3JofgHCC	1710
Gq0GwtaCDHUp79ia	1481
u1c7tmJPvBTMOnel	6227
if4uzSPZQEGdeiME	4471
MH7tyGgKlj7wzXsU	1893
Nhyou7HQW6ldTPSp	2008
43AnkDEiI11t2W9O	440
eSABUdRaGo8aLiYq	3797
rpljsrgFZKf9wTnV	5785
2KsAhaIZ2kdBP756	285
1E4zW8q8ix7FmfMF	133
87U8jg5qPcs729TR	788
0KwtpZSjijWwXmD6	31
B6e3ZZoy0HPAfU8s	1024
iyZgf5rfAkBJtS28	4545
sF7jBdQSTIKEcjk2	5828
